trial,recording,metrics_version,event_id,direction,turn_start_s,turn_end_s,turn_duration_s,chest_yaw_excursion_deg,pelvis_yaw_excursion_deg,chest_yaw_peak_rate_dps,chest_yaw_sparc,chest_yaw_submovement_count,chest_yaw_submovement_rate_hz,chest_pelvis_yaw_r,chest_pelvis_lag_s,chest_pelvis_gain,relative_yaw_range_deg,relative_yaw_sd_deg,chest_yaw_log10_dimensionless_jerk
Novice,IMU_Trial_1_RC_Novice.csv,2,smooth-16,-1,112.95449096364072,116.85599065152074,3.9014996878800248,69.80466311104229,27.61799226502543,31.866675647409682,-1.836589982455956,3,0.7689350865051904,0.9759387256891335,-0.43827157414813134,0.39564680974237926,43.078325160356066,14.707698248671072,5.225017378979493
Trained,IMU_Trial_3_RC_Trained.csv,2,smooth-16,-1,108.9098912872087,113.38649092908072,4.476599641872029,63.92602275167795,28.418906365359593,32.83355885706604,-1.6512488555787206,4,0.8935353437876961,0.9491082680575903,-0.2917837968674576,0.44455927558255054,39.53872756208024,14.457418738624156,5.82675506624233
Novice,IMU_Trial_1_RC_Novice.csv,2,smooth-17,1,116.85599065152074,121.99679024025677,5.140799588736033,79.73624024260555,40.81815472752716,25.677792411779347,-2.1619575049769124,5,0.9726113445378152,0.989087961062921,-0.4587866097483234,0.5119147153582086,40.356797442193184,13.242917433037926,5.623544976269976
Trained,IMU_Trial_3_RC_Trained.csv,2,smooth-17,1,113.38649092908072,118.39499052840075,5.008499599320031,75.82420638588339,32.6515287867809,30.8032800099185,-1.8289943182705934,4,0.7986423719676551,0.9834038048668629,-0.3664199039092371,0.4306214379694427,45.80701089011939,16.1516861792786,5.835282105856812
Novice,IMU_Trial_1_RC_Novice.csv,2,smooth-18,-1,121.99679024025677,125.0099899992008,3.013199758944019,60.49416973953016,29.07908965846481,31.212110054552088,-2.232391171974642,3,0.9956193548387098,0.9785853601146254,-0.2749863042345872,0.480692433397643,32.63165423618056,10.644498858027529,4.982709465993524
Trained,IMU_Trial_3_RC_Trained.csv,2,smooth-18,-1,118.39499052840075,121.62419027006477,3.2291997416640204,65.8580501042876,28.746825309494923,31.358106315692524,-2.2029985522235664,4,1.2386969899665552,0.986693619973419,-0.29572356201034206,0.43649675725251086,37.11921532208391,12.762710643897496,5.061326076947726
Novice,IMU_Trial_1_RC_Novice.csv,2,smooth-19,-1,151.02448791804096,155.46868756250498,4.444199644464028,39.11940838009015,27.81921062443168,17.900792529924452,-2.381076358644683,6,1.350074362089915,0.9831877833534721,-0.6036836338986655,0.7111357706163646,12.946102515127722,4.076333551423988,6.154047698358033
Trained,IMU_Trial_3_RC_Trained.csv,2,smooth-19,-1,149.13178806945695,152.96308776295297,3.831299693496024,27.498231250909782,15.1124081092459,18.208027928620222,-2.2943685493858146,3,0.7830241014799155,0.9054113991821907,0.6708595131684201,0.5495774608683569,13.737677388733118,5.192620933102209,5.54587171224917
Novice,IMU_Trial_1_RC_Novice.csv,2,smooth-20,1,155.46868756250498,168.39088652872908,12.922198966224082,114.86751498661043,86.22064566831835,33.65740082247451,-4.133098660430942,12,0.9286345173422483,0.9945419974630132,-0.27667789861582276,0.7506094797852003,28.64857385789852,6.297339682181865,8.702499990063197
Trained,IMU_Trial_3_RC_Trained.csv,2,smooth-20,1,152.96308776295297,165.84478673241705,12.881698969464082,98.47836346319535,57.7165714458748,41.49805172414472,-3.7810498800457113,7,0.5434065814294697,0.9806519439105492,-0.11495843291859739,0.5860837793821118,41.26162446100726,8.004069667868526,8.663680202706722
Novice,IMU_Trial_1_RC_Novice.csv,2,smooth-21,-1,168.39088652872908,173.1428861485691,4.7519996198400305,90.6526231149373,53.94618534366315,54.39191227603844,-1.72619792443599,4,0.8417509090909091,0.9873745421643246,-0.3049752508396283,0.5950868655534156,45.23891798565338,13.25043364500428,5.645569786863072
Trained,IMU_Trial_3_RC_Trained.csv,2,smooth-21,-1,165.84478673241705,169.73548642116108,3.8906996887440246,75.91833609797375,36.210903665480785,43.8680067147043,-1.6913313685012183,4,1.0280927133934767,0.9905218374618281,-0.2107647939007078,0.4769717768675814,41.467927958532606,13.79638423050837,5.137001321795557
Novice,IMU_Trial_1_RC_Novice.csv,2,smooth-22,1,173.1428861485691,184.09948527204116,10.956599123472069,102.24350074773383,49.39592625880949,54.24166953442319,-2.5891252728152905,7,0.6388843765401676,0.9806286790451068,-0.3289731858210861,0.48312045164302847,57.94386471057837,14.80605442645374,7.878802600672073
Trained,IMU_Trial_3_RC_Trained.csv,2,smooth-22,1,169.73548642116108,180.64618554830514,10.910699127144069,96.71759904155549,40.11697104578152,43.95149854124144,-2.6524706210666746,11,1.0081847067557537,0.9739906936528581,-0.24294791236080426,0.4147846042843241,56.61441226197653,14.19760741870232,8.04750259392188
Novice,IMU_Trial_1_RC_Novice.csv,2,smooth-23,-1,184.09948527204116,186.73738506100918,2.6378997889680167,106.17765541755962,72.445788255643,63.368591767400595,-1.6869810456143133,2,0.7581789150460594,0.9971375962310396,-0.12606979921471864,0.6823072893325721,33.708924254418115,11.000395078194362,4.621066747407493
Trained,IMU_Trial_3_RC_Trained.csv,2,smooth-23,-1,180.64618554830514,183.46498532280117,2.818799774496018,119.11113265266674,63.903361241469725,62.12750808535607,-1.6124018665871591,3,1.0642827586206898,0.9923752631739686,-0.06715790995616902,0.5365020029472368,55.21045397118195,17.25946218434792,4.260615598520741
Novice,IMU_Trial_1_RC_Novice.csv,2,smooth-24,1,186.73738506100918,189.8180848145532,3.0806997535440197,24.457749533157386,12.279284884429591,25.434512876947206,-2.421570104124063,3,0.9738047326906223,0.9732746975734538,-0.19544365523724647,0.5020611102334889,15.592100985649639,4.284369478579447,5.068729598757872
Trained,IMU_Trial_3_RC_Trained.csv,2,smooth-24,1,183.46498532280117,185.97598512192118,2.510999799120016,57.63507593421212,31.173751752997035,76.4222833138665,-1.4790034115701793,1,0.3982477419354839,0.9294329454854697,-0.09608654072940433,0.5408815941976114,27.677704964992774,11.031863971185517,4.366483478632194
Novice,IMU_Trial_1_RC_Novice.csv,2,smooth-25,-1,189.8180848145532,194.98858440091323,5.170499586360033,79.51276207247845,44.47819260048379,32.61088963204763,-2.553436127394341,6,1.160429451697128,0.9811497714370967,-0.4248395195598027,0.5593843232353125,40.886675846052015,14.971036087641842,6.3611621983390965
Trained,IMU_Trial_3_RC_Trained.csv,2,smooth-25,-1,185.97598512192118,190.0205847983532,4.044599676432026,84.59892304898104,56.105959850415616,36.87046170391482,-2.0497723097289438,5,1.2362162883845127,0.9898634611829351,-0.3158047202281174,0.6631994572546913,34.41278349132041,10.463539460248626,5.571642687636239
Novice,IMU_Trial_1_RC_Novice.csv,2,smooth-26,1,194.98858440091323,198.89548408836126,3.906899687448025,91.62068936090256,50.134738667315645,46.13124441750378,-1.6530746213512566,3,0.7678722874913615,0.9962293150345186,-0.2437905754734719,0.5471988807007353,41.87325837123333,13.962238398482883,5.192293800327732
Trained,IMU_Trial_3_RC_Trained.csv,2,smooth-26,1,190.0205847983532,195.45028436397723,5.429699565624034,81.07218107906553,46.40780553552811,45.3385858758661,-1.6949882387762836,4,0.736689010442566,0.9903881699610516,-0.29973833838700276,0.5724257682209014,41.66303845916396,12.974935614151912,5.6209111362570985
Novice,IMU_Trial_1_RC_Novice.csv,2,smooth-27,-1,198.89548408836126,207.89458336843333,8.999099280072057,85.94120096184183,57.734688781914166,47.89279475184907,-2.0331348628355794,4,0.4444889288928893,0.991307903274822,-0.20849986124278974,0.6717929018416737,33.20975910157858,9.620188329981307,7.518243659239516
Trained,IMU_Trial_3_RC_Trained.csv,2,smooth-27,-1,195.45028436397723,204.06058367515328,8.610299311176055,80.74095146030186,47.71629615457351,53.01245407425541,-1.9744306093243993,2,0.2322799623706491,0.996743369194944,-0.23853702895280732,0.5909801072635901,34.38491481939956,10.532101958439307,7.1448896433369615
Novice,IMU_Trial_1_RC_Novice.csv,2,smooth-28,1,207.89458336843333,211.08598311312133,3.1913997446880202,72.87565573881105,53.02259941407176,48.95472585078303,-1.7561920275148781,3,0.9400263959390863,0.9930700598831508,-0.13244336229227646,0.7275762924742201,22.88580227954815,6.811640370069937,5.082371287329872
Trained,IMU_Trial_3_RC_Trained.csv,2,smooth-28,1,204.06058367515328,207.29788341616933,3.2372997410160207,72.3348872215614,50.980662178410455,47.90165352606685,-1.726021250359314,3,0.9266982485404504,0.9979196208145509,-0.13080599493324185,0.7047866408121566,21.334035103300096,7.166920607791957,5.0230833031593525
